Model	Corpus	Epoch	Ckpt	Variant	Overall	NonLive AST	Live	MultiTurn	MT Base	MT MissFunc	MT MissParam	MT LongCtx	Memory	Mem KV	Mem Vector	Mem RecSum	Relevance	Irrelevance	Simple	Multiple	Parallel	ParallelMult	Latency Mean s
Qwen3-4B-Base SFT prefix epoch 1 (ckpt-4200) (FC)	prefix	1	4200	FC	29.29	82.27	77.13	8.00	12.50	7.00	8.00	4.50	12.26	5.16	10.32	21.29	75.00	85.02	66.58	93.00	85.00	84.50	
Qwen3-4B-Base SFT nemotron epoch 1 (ckpt-2941) (FC)	nemotron	1	2941	FC	29.16	82.44	75.87	5.50	5.50	6.00	4.00	6.50	16.56	9.03	18.06	22.58	68.75	83.72	66.75	91.50	87.00	84.50	15.92
Qwen3-4B-Base SFT no-reason epoch 7 (ckpt-448) (FC)	noreason	7	448	FC	28.01	85.96	70.47	2.63					14.19				75.00	87.41	75.83	92.50	92.50	83.00	
Qwen3-4B-Base SFT no-reason epoch 10 (ckpt-640) (FC)	noreason	10	640	FC	27.96	86.08	70.84	2.75					13.98				81.25	86.44	75.83	93.00	92.50	83.00	
Qwen3-4B-Base SFT no-reason epoch 8 (ckpt-512) (FC)	noreason	8	512	FC	27.95	86.08	70.91	2.50					14.41				81.25	86.18	75.83	93.00	92.50	83.00	
Qwen3-4B-Base SFT no-reason epoch 3 (ckpt-192) (FC)	noreason	3	192	FC	27.83	85.81	74.09	3.25					13.98				81.25	80.71	77.25	92.50	91.00	82.50	
Qwen3-4B-Base SFT no-reason epoch 9 (ckpt-576) (FC)	noreason	9	576	FC	27.72	86.08	70.61	2.75					12.90				81.25	86.44	75.83	93.00	92.50	83.00	
Qwen3-4B-Base SFT no-reason epoch 5 (ckpt-320) (FC)	noreason	5	320	FC	27.40	84.98	72.02	1.75					12.69				75.00	86.37	74.42	92.50	91.00	82.00	
Qwen3-4B-Base SFT no-reason epoch 6 (ckpt-384) (FC)	noreason	6	384	FC	27.39	85.81	69.80	2.25					12.90				75.00	85.69	76.25	92.50	92.50	82.00	
Qwen3-4B-Base SFT no-reason epoch 2 (ckpt-128) (FC)	noreason	2	128	FC	27.30	83.17	72.76	2.00					10.54				68.75	90.02	71.67	89.00	87.50	84.50	
Qwen3-4B-Base SFT no-reason epoch 4 (ckpt-256) (FC)	noreason	4	256	FC	27.14	84.81	71.87	1.12					11.83				75.00	87.69	74.75	92.00	90.50	82.00	
Qwen3-4B-Base SFT no-reason epoch 1 (ckpt-64) (FC)	noreason	1	64	FC	26.64	87.21	75.80	1.25					12.47				87.50	74.67	74.33	91.50	92.00	91.00	
Qwen3-4B-Base SFT reasoning epoch 3 (ckpt-258) (FC)	reasoning	3	258	FC	25.13	84.75	70.02	1.00					8.17				75.00	77.20	77.00	92.00	88.00	82.00	
Qwen3-4B-Base SFT reasoning epoch 2 (ckpt-172) (FC)	reasoning	2	172	FC	25.08	85.88	70.10	1.00					8.39				75.00	75.00	78.50	91.50	90.00	83.50	
Qwen3-4B-Base SFT reasoning epoch 7 (ckpt-602) (FC)	reasoning	7	602	FC	24.98	82.94	68.02	1.00					9.03				93.75	77.82	75.25	88.50	88.50	79.50	
Qwen3-4B-Base SFT reasoning epoch 5 (ckpt-430) (FC)	reasoning	5	430	FC	24.97	83.06	69.80	0.25					9.03				87.50	78.06	74.75	94.00	87.50	76.00	
Qwen3-4B-Base SFT reasoning epoch 9 (ckpt-774) (FC)	reasoning	9	774	FC	24.66	83.27	70.47	0.38					7.53				87.50	76.71	71.58	92.50	89.50	79.50	
Qwen3-4B-Base SFT reasoning epoch 6 (ckpt-516) (FC)	reasoning	6	516	FC	24.44	83.46	69.50	0.50					7.74				87.50	74.49	71.33	92.00	91.50	79.00	
Qwen3-4B-Base SFT reasoning epoch 8 (ckpt-688) (FC)	reasoning	8	688	FC	24.39	82.58	69.43	1.00					6.67				87.50	75.51	73.83	93.00	86.00	77.50	
Qwen3-4B-Base SFT reasoning epoch 10 (ckpt-860) (FC)	reasoning	10	860	FC	24.39	80.00	70.10	0.88					7.53				87.50	76.08	70.50	90.50	87.00	72.00	
Qwen3-4B-Base SFT reasoning epoch 4 (ckpt-344) (FC)	reasoning	4	344	FC	24.16	83.15	66.32	0.50					6.45				81.25	77.76	74.58	91.50	86.00	80.50	
Qwen3-4B-Base SFT reasoning epoch 1 (ckpt-86) (FC)	reasoning	1	86	FC	24.14	81.71	65.73	1.25					9.03				75.00	72.19	74.83	89.00	85.00	78.00	
Qwen3-4B-Base (lenient parse) (FC)	lenient			FC	12.33	58.67	40.49	1.38					1.08				81.25	17.92	65.67	58.50	47.50	63.00	52.20
Qwen3-4B-Base (untrained zero point) (FC)	base			FC	10.99	0.00	0.00	0.00					4.95				0.00	100.00	0.00	0.00	0.00	0.00	
